"title","description","tags","category"
"Review previous exam subjects","Need more revision practice","exam,revision","EDUCATION"
"Study data structures","Need better understanding of trees","data-structures,algorithms","EDUCATION"
"Organize study materials","Lecture files are a mess","study,organization","EDUCATION"
"Research thesis topic","Need sources for dissertation","research,university","EDUCATION"
"Improve note taking","Need cleaner summaries during lectures","notes,self-improvement","EDUCATION"
"Learn Git and GitHub","Need version control practice","git,development","EDUCATION"
"Watch backend API tutorial","Understand REST APIs better","backend,tutorials","EDUCATION"
"Studiaza SQL","Exerseaza bazele de date","sql,studiu","EDUCATION"
"Revizuieste notitele","Recapituleaza sumarul cursurilor inainte de clasa","notite,revizie","EDUCATION"
"Termina tema","Finalizeaza sarcinile ramase pentru tema","tema,scoala","EDUCATION"
"Exerseaza programarea","Rezolva exercitii","coding,educatie","EDUCATION"
"Citeste capitolul","Material de studiu asignat","citit,studiu","EDUCATION"
"Studiaza capitolul de istorie","Este nevoie de recapitulare pentru lectia de maine","istorie,examen","EDUCATION"
"Exerseaza vocabularul francez","Invata cuvinte si expresii noi","invatare-limbi,franceza","EDUCATION"
"Citeste notitele la biologie","Revizuieste materialul pentru testul urmator","biologie,notite","EDUCATION"
"Pregateste tema la chimie","Trebuie finalizat raportul de laborator","chimie,tema","EDUCATION"
"Exerseaza exercitii la matematica","Este nevoie de mai multe probleme de algebra","matematica,practica","EDUCATION"
"Studiaza bazele programarii","Imbunatateste intelegerea conceptelor de coding","programare,studiu","EDUCATION"
"Citeste slide-urile cursului","Recupereaza materialul pierdut la clasa","slide-uri,universitate","EDUCATION"
"Finalizeaza lectia cursului online","Continua modulul curent de invatare","curs,online-learning","EDUCATION"
"Revizuieste materialul pentru examen","Este nevoie de recapitulare inainte de finale","examen,revizie","EDUCATION"
"Exerseaza vorbitul in engleza","Imbunatateste pronuntia si fluenta","engleza,invatare-limbi","EDUCATION"
"Studiaza pentru examenul la baze de date","Recapituleaza normalizarea si SQL","scoala,examen","EDUCATION"
"Finalizeaza tema la machine learning","Deadline-ul este saptamana viitoare","tema,ai","EDUCATION"
"Citeste cartea Clean Architecture","Continua lectura despre software engineering","carti,invatare","EDUCATION"
"Finalizeaza cursul de Python","Termina lectiile ramase","python,curs","EDUCATION"
"Ia notite pentru curs","Rezuma cursul de astazi","notite,universitate","EDUCATION"
"Pregateste prezentarea pentru universitate","Slide-uri pentru cursul de software engineering","prezentare,scoala","EDUCATION"
"Invata bazele React","Exerseaza dezvoltarea frontend","react,programare","EDUCATION"
"Exerseaza intrebari de interviu pentru coding","Este nevoie de mai multe exercitii cu algoritmi","coding,interviu","EDUCATION"
"Studiaza pentru testul de algoritmi","Este nevoie de mai multe exercitii cu grafuri","algoritmi,examen","EDUCATION"
"Urmareste tutorial de machine learning","Intelege mai bine retelele neuronale","ai,invatare","EDUCATION"
"Trebuie sa studiez mai mult","Examenul se apropie","studiu,examen","EDUCATION"
"Am ramas in urma cu materia","Trebuie recuperate temele","scoala,studiu","EDUCATION"
"Am nevoie de obiceiuri mai bune de invatare","Sunt prea distras in ultima vreme","studiu,obiceiuri","EDUCATION"
"Inca nu am terminat cursul","Trebuie continuate lectiile","curs,invatare","EDUCATION"
"Am uitat sa revizuiesc notitele","Este nevoie de recapitulare inainte de curs","notite,scoala","EDUCATION"
"Cerceteaza sisteme distribuite","Este nevoie de material pentru proiectul universitar","research,sisteme","EDUCATION"
"Finalizeaza tema la Java","Tema trebuie predata vineri","java,tema","EDUCATION"
"Exerseaza query-uri SQL","Este nevoie de skill-uri mai bune pentru baze de date","sql,practica","EDUCATION"
"Citeste lucrare de cercetare AI","Intelege arhitecturile transformer","research,ai","EDUCATION"
"Continua certificarea online","Progresul pentru certificarea cloud este lent","certificare,cloud","EDUCATION"
"Trebuie finalizata seria de tutoriale","Inca lipsesc lectiile avansate","tutoriale,invatare","EDUCATION"
"Revizuieste sistemele de operare","Subiectele pentru examen sunt dificile","sisteme-operare,examen","EDUCATION"
"Recupereaza inregistrarile cursurilor","Au fost ratate mai multe cursuri","cursuri,studiu","EDUCATION"
"Imbunatateste skill-urile de coding","Este nevoie de mai multa practica","coding,self-improvement","EDUCATION"
"Studiaza conceptele de networking","Este nevoie de recapitulare pentru quiz","networking,studiu","EDUCATION"
"Pregateste examenul de certificare","Examenul cloud este luna viitoare","certificare,examen","EDUCATION"
"Exerseaza probleme LeetCode","Este nevoie de mai multe exercitii cu algoritmi","coding,algoritmi","EDUCATION"
"Citeste notitele de software engineering","Pregateste-te pentru cursul de maine","notite,software-engineering","EDUCATION"
"Ia notite mai bune","Notitele actuale sunt prea dezordonate","notite,productivitate","EDUCATION"
"Trebuie sa ma concentrez in timpul studiului","Sunt prea distras de social media","studiu,focus","EDUCATION"
"Cerceteaza bazele cybersecurity","Este nevoie de material pentru tema","research,securitate","EDUCATION"
"Invata bazele Docker","Exerseaza conceptele containerelor","docker,devops","EDUCATION"
"Revizuieste formulele de statistica","Este nevoie de mai multa practica la probabilitati","statistica,matematica","EDUCATION"
"Continua invatarea limbilor","Exerseaza vocabularul in engleza","invatare-limbi,engleza","EDUCATION"
"Citeste documentatia de programare","Intelege mai bine FastAPI","documentatie,backend","EDUCATION"
"Trebuie sa revizuiesc calculul matematic","Examenul la matematica se apropie","matematica,examen","EDUCATION"
"Studiaza programarea orientata pe obiecte","Este nevoie de mai multa practica Java","oop,programare","EDUCATION"
"Urmareste tutorial frontend","Invata bazele responsive design","frontend,tutoriale","EDUCATION"
"Pregateste prezentarea de cercetare","Este nevoie de slide-uri pentru meetingul proiectului","research,prezentare","EDUCATION"
"Finalizeaza proiectul universitar","Implementarea backend inca lipseste","proiecte,backend","EDUCATION"
"Trebuie sa imbunatatesc managementul timpului","Prea multa procrastinare in timpul studiului","self-improvement,studiu","EDUCATION"
"Continua cursul AWS","Trebuie terminate modulele ramase","aws,online-learning","EDUCATION"
"Exerseaza exercitii Python","Este nevoie de fundamente mai bune de programare","python,coding","EDUCATION"
"Revizuieste subiectele examenelor anterioare","Este nevoie de mai multa practica pentru recapitulare","examen,revizie","EDUCATION"
"Studiaza structuri de date","Este nevoie de o intelegere mai buna a arborilor","structuri-date,algoritmi","EDUCATION"
"Organizeaza materialele de studiu","Fisierele cursurilor sunt dezorganizate","studiu,organizare","EDUCATION"
"Cerceteaza tema pentru dizertatie","Este nevoie de surse pentru lucrare","research,universitate","EDUCATION"
"Imbunatateste luarea notitelor","Este nevoie de rezumate mai clare la cursuri","notite,self-improvement","EDUCATION"
"Invata Git si GitHub","Este nevoie de practica pentru version control","git,development","EDUCATION"
"Urmareste tutorial backend API","Intelege mai bine REST APIs","backend,tutoriale","EDUCATION"
"Watch new movie","Relax with a movie tonight","movies,relax","ENTERTAINMENT"
"Play video games","Need time to relax after work","gaming,fun","ENTERTAINMENT"
"Start new TV series","Watch first episodes this weekend","series,streaming","ENTERTAINMENT"
"Go to concert","Live music event this Friday","music,events","ENTERTAINMENT"
"Listen to new album","Check latest music release","music,audio","ENTERTAINMENT"
"Play board games","Game night with friends","games,social","ENTERTAINMENT"
"Read fantasy novel","Continue book series","books,reading","ENTERTAINMENT"
"Watch anime episode","Catch up with current season","anime,streaming","ENTERTAINMENT"
"Try new video game","Install and test new release","gaming,pc","ENTERTAINMENT"
"Go to cinema","Watch latest movie release","movies,cinema","ENTERTAINMENT"
"Need to relax tonight","Too stressed lately","relaxation,fun","ENTERTAINMENT"
"Want to watch something fun","Need break after work","movies,streaming","ENTERTAINMENT"
"Need gaming session","Haven't played in days","gaming,relax","ENTERTAINMENT"
"Bored this weekend","Need something entertaining","fun,weekend","ENTERTAINMENT"
"Need break from work","Watch movie and relax","movies,relax","ENTERTAINMENT"
"Go cycling","Relax with outdoor activity","sports,fun","ENTERTAINMENT"
"Listen to music","Need background music while relaxing","music,relax","ENTERTAINMENT"
"Watch YouTube videos","Relax with random content","youtube,streaming","ENTERTAINMENT"
"Play co-op games","Gaming session with friends","gaming,multiplayer","ENTERTAINMENT"
"Read comic book","Continue comic series","comics,reading","ENTERTAINMENT"
"Start new anime","Need something fun to watch","anime,streaming","ENTERTAINMENT"
"Watch football match","Weekend sports entertainment","sports,streaming","ENTERTAINMENT"
"Go out with friends","Need social break this weekend","social,events","ENTERTAINMENT"
"Try new hobby","Looking for creative activities","hobbies,creative","ENTERTAINMENT"
"Play guitar","Practice music for fun","music,hobbies","ENTERTAINMENT"
"Draw something","Relax with sketching practice","creative,art","ENTERTAINMENT"
"Watch comedy special","Need something funny tonight","comedy,streaming","ENTERTAINMENT"
"Gaming night","Play games until late","gaming,fun","ENTERTAINMENT"
"Listen to podcast","Need something interesting during commute","podcast,audio","ENTERTAINMENT"
"Movie marathon","Watch several movies this weekend","movies,weekend","ENTERTAINMENT"
"Play basketball","Casual sports with friends","sports,social","ENTERTAINMENT"
"Go for a drive","Relax and listen to music","relaxation,fun","ENTERTAINMENT"
"Watch Twitch stream","Favorite streamer is live","gaming,streaming","ENTERTAINMENT"
"Read manga chapter","Continue current series","manga,reading","ENTERTAINMENT"
"Play online matches","Competitive gaming session","gaming,online","ENTERTAINMENT"
"Start new hobby project","Try creative activities at home","creative,hobbies","ENTERTAINMENT"
"Listen to relaxing music","Need calm evening atmosphere","music,relax","ENTERTAINMENT"
"Watch sci-fi movie","Need something entertaining tonight","movies,sci-fi","ENTERTAINMENT"
"Go bowling","Weekend activity","social,fun","ENTERTAINMENT"
"Read before bed","Relax with light reading","books,relax","ENTERTAINMENT"
"Play card games","Fun evening activity","games,social","ENTERTAINMENT"
"Watch documentary","Learn something interesting tonight","documentary,streaming","ENTERTAINMENT"
"Need weekend plans","Looking for something fun to do","weekend,fun","ENTERTAINMENT"
"Try karaoke night","Music and fun with friends","music,social","ENTERTAINMENT"
"Watch horror movie","Movie night with friends","movies,horror","ENTERTAINMENT"
"Play football","Casual sports activity","sports,fun","ENTERTAINMENT"
"Go hiking","Outdoor activity for relaxation","outdoors,hobbies","ENTERTAINMENT"
"Start reading new book","Need relaxing evening activity","books,reading","ENTERTAINMENT"
"Listen to old playlists","Nostalgic music session","music,audio","ENTERTAINMENT"
"Watch live stream","Check gaming event online","streaming,gaming","ENTERTAINMENT"
"Play something relaxing","Need stress relief after work","gaming,relax","ENTERTAINMENT"
"Urmareste un film nou","Relaxeaza-te cu un film in seara asta","filme,relaxare","ENTERTAINMENT"
"Joaca jocuri video","Am nevoie de relaxare dupa munca","gaming,distractie","ENTERTAINMENT"
"Incepe un serial nou","Urmareste primele episoade weekendul acesta","seriale,streaming","ENTERTAINMENT"
"Mergi la concert","Eveniment cu muzica live vineri","muzica,evenimente","ENTERTAINMENT"
"Asculta album nou","Verifica cea mai noua lansare muzicala","muzica,audio","ENTERTAINMENT"
"Joaca board games","Seara de jocuri cu prietenii","jocuri,social","ENTERTAINMENT"
"Citeste roman fantasy","Continua seria de carti","carti,citit","ENTERTAINMENT"
"Urmareste episod anime","Recupereaza sezonul curent","anime,streaming","ENTERTAINMENT"
"Incearca joc video nou","Instaleaza si testeaza noua lansare","gaming,pc","ENTERTAINMENT"
"Mergi la cinema","Urmareste cel mai nou film","filme,cinema","ENTERTAINMENT"
"Trebuie sa ma relaxez diseara","Prea mult stres in ultima vreme","relaxare,distractie","ENTERTAINMENT"
"Vreau sa ma uit la ceva fun","Am nevoie de o pauza dupa munca","filme,streaming","ENTERTAINMENT"
"Am nevoie de o sesiune de gaming","Nu m-am mai jucat de cateva zile","gaming,relaxare","ENTERTAINMENT"
"M-am plictisit weekendul acesta","Am nevoie de ceva entertaining","distractie,weekend","ENTERTAINMENT"
"Am nevoie de o pauza de la munca","Uita-te la un film si relaxeaza-te","filme,relaxare","ENTERTAINMENT"
"Mergi cu bicicleta","Relaxeaza-te cu activitate outdoor","sport,distractie","ENTERTAINMENT"
"Asculta muzica","Seara relaxanta","muzica,distractie","ENTERTAINMENT"
"Urmareste videoclipuri YouTube","Relaxeaza-te cu continut random","youtube,streaming","ENTERTAINMENT"
"Joaca jocuri co-op","Sesiune de gaming cu prietenii","gaming,multiplayer","ENTERTAINMENT"
"Citeste benzi desenate","Continua seria de comics","comics,citit","ENTERTAINMENT"
"Incepe anime nou","Am nevoie de ceva fun de urmarit","anime,streaming","ENTERTAINMENT"
"Urmareste meci de fotbal","Entertainment sportiv in weekend","sport,streaming","ENTERTAINMENT"
"Iesi cu prietenii","Am nevoie de o pauza sociala weekendul acesta","social,evenimente","ENTERTAINMENT"
"Incearca hobby nou","Caut activitati relaxante","hobbyuri,creativ","ENTERTAINMENT"
"Exerseaza chitara","Practica muzica pentru distractie","muzica,hobbyuri","ENTERTAINMENT"
"Deseneaza ceva","Relaxeaza-te cu desen si sketching","creativ,arta","ENTERTAINMENT"
"Urmareste stand-up comedy","Am nevoie de ceva amuzant diseara","comedy,streaming","ENTERTAINMENT"
"Seara de gaming","Joaca-te pana tarziu","gaming,distractie","ENTERTAINMENT"
"Asculta podcast","Ceva interesant de ascultat","podcast,audio","ENTERTAINMENT"
"Maraton de filme","Urmareste mai multe filme weekendul acesta","filme,weekend","ENTERTAINMENT"
"Joaca baschet","Sport casual cu prietenii","sport,social","ENTERTAINMENT"
"Iesi la plimbare cu masina","Relaxeaza-te si asculta muzica","relaxare,distractie","ENTERTAINMENT"
"Urmareste stream pe Twitch","Streamerul preferat este live","gaming,streaming","ENTERTAINMENT"
"Citeste capitol manga","Continua seria actuala","manga,citit","ENTERTAINMENT"
"Joaca meciuri online","Sesiune competitiva de gaming","gaming,online","ENTERTAINMENT"
"Incepe proiect hobby nou","Incearca activitati creative acasa","creativ,hobbyuri","ENTERTAINMENT"
"Asculta muzica relaxanta","Am nevoie de o atmosfera calma seara","muzica,relaxare","ENTERTAINMENT"
"Urmareste film SF","Am nevoie de ceva entertaining diseara","filme,sf","ENTERTAINMENT"
"Mergi la bowling","Activitate de weekend","social,distractie","ENTERTAINMENT"
"Citeste inainte de somn","Relaxeaza-te cu lectura usoara","carti,relaxare","ENTERTAINMENT"
"Joaca jocuri de carti","Activitate distractiva de seara","jocuri,social","ENTERTAINMENT"
"Urmareste documentar","Invata ceva interesant diseara","documentar,streaming","ENTERTAINMENT"
"Am nevoie de planuri pentru weekend","Caut ceva distractiv de facut","weekend,distractie","ENTERTAINMENT"
"Incearca seara de karaoke","Muzica si distractie cu prietenii","muzica,social","ENTERTAINMENT"
"Urmareste film horror","Seara de filme cu prietenii","filme,horror","ENTERTAINMENT"
"Joaca fotbal","Activitate sportiva casual","sport,distractie","ENTERTAINMENT"
"Mergi in drumetie","Activitate outdoor pentru relaxare","outdoor,hobbyuri","ENTERTAINMENT"
"Incepe sa citesti o carte noua","Am nevoie de o activitate relaxanta seara","carti,citit","ENTERTAINMENT"
"Asculta playlisturi vechi","Sesiune nostalgica de muzica","muzica,audio","ENTERTAINMENT"
"Urmareste live stream","Verifica evenimentul de gaming online","streaming,gaming","ENTERTAINMENT"
"Joaca ceva relaxant","Am nevoie de relaxare dupa munca","gaming,relaxare","ENTERTAINMENT"
"Clean room","Room is messy","cleanup,home","OTHER"
"Fix chair","Chair is broken","repair,home","OTHER"
"Call support","Need technical help","support,admin","OTHER"
"Update password","Security reminder","accounts,security","OTHER"
"Check documents","Need to verify paperwork","documents,admin","OTHER"
"Pick up keys","Need to collect spare keys","errands,reminder","OTHER"
"Drop off documents","Need to deliver paperwork","documents,errands","OTHER"
"Call landlord","Need to discuss apartment issue","life-admin,housing","PERSONAL"
"Apartment inspection appointment","Need to be home for inspection","appointments,housing","OTHER"
"Schedule maintenance visit","Technician needs to check appliances","appointments,maintenance","OTHER"
"Pick up package","Parcel arrived","delivery,errands","OTHER"
"Return library books","Books are overdue","errands,reminder","OTHER"
"Drop off laundry","Need to visit laundry service","errands,chores","OTHER"
"Call repair service","Need someone to fix appliance","maintenance,repair","OTHER"
"Clean kitchen","Kitchen needs general cleanup","cleanup,home","OTHER"
"Organize desk","Workspace feels too cluttered","organization,desk","OTHER"
"Check mailbox","Need to collect mail","errands,home","OTHER"
"Fix shelf","Shelf feels loose","repair,home","OTHER"
"Take car to service","Car maintenance appointment","maintenance,car","OTHER"
"Need to organize papers","Important documents are scattered","organization,documents","OTHER"
"Clean desktop files","Too many random files on computer","organization,cleanup","OTHER"
"Call plumber","Kitchen sink is leaking","maintenance,home","OTHER"
"Need to clean up","Everything feels messy lately","cleanup,organization","OTHER"
"Too much clutter","Need to organize things better","organization,home","OTHER"
"Forgot to reply","Need to answer messages","communication,admin","OTHER"
"Need to fix stuff around the house","Several small things are broken","maintenance,home","OTHER"
"Need to organize my files","Desktop is full of random documents","organization,computer","OTHER"
"Reply to emails","Inbox is getting crowded","admin,communication","OTHER"
"Organize room","Desk and shelves are messy","organization,home","OTHER"
"Backup phone photos","Need to free storage space","backup,storage","OTHER"
"Fix broken chair","Chair wheel is damaged","repair,home","OTHER"
"Update account password","Security reminder for online account","security,accounts","OTHER"
"Wash the car","Car is very dirty","maintenance,car","OTHER"
"Take out trash","Garbage needs removal","chores,home","OTHER"
"Sort old documents","Need better file organization","documents,organization","OTHER"
"Clean email inbox","Too many unread messages","admin,email","OTHER"
"Organize downloads folder","Random files are piling up","organization,computer","OTHER"
"Renew ID card","Document expiration is coming soon","admin,documents","OTHER"
"Schedule apartment inspection","Need to check home maintenance issues","admin,home","OTHER"
"Fix loose door handle","Door handle is not stable","repair,home","OTHER"
"Organize garage","Too many boxes and tools everywhere","organization,home","OTHER"
"Clean keyboard","Keyboard is dusty and dirty","cleanup,computer","OTHER"
"Delete old files","Free up space on laptop","storage,cleanup","OTHER"
"Update software","Install latest system updates","maintenance,computer","OTHER"
"Call internet provider","Connection has been unstable lately","admin,service","OTHER"
"Return borrowed item","Need to give it back this week","errands,reminder","OTHER"
"Print documents","Need physical copies","documents,admin","OTHER"
"Organize calendar","Too many unsorted reminders","organization,planning","OTHER"
"Clean fridge","Old food needs to be removed","chores,kitchen","OTHER"
"Fix leaking faucet","Bathroom faucet keeps dripping","maintenance,home","OTHER"
"Water the plants","Plants are starting to dry out","chores,home","OTHER"
"Update contact list","Phone contacts are outdated","admin,contacts","OTHER"
"Archive old emails","Move old messages into folders","admin,email","OTHER"
"Clean browser bookmarks","Too many saved random links","organization,browser","OTHER"
"Organize cables","Desk cables are messy","organization,desk","OTHER"
"Label storage boxes","Make storage easier to find","organization,home","OTHER"
"Drop off package","Return parcel at courier point","errands,delivery","OTHER"
"Clean bathroom","Bathroom needs general cleaning","chores,home","OTHER"
"Vacuum apartment","Floors need cleaning","chores,home","OTHER"
"Reset old password","Account login needs updating","security,accounts","OTHER"
"Update address details","Change address on online accounts","admin,accounts","OTHER"
"Fix squeaky door","Door makes noise every time","repair,home","OTHER"
"Clean laptop screen","Screen has fingerprints and dust","cleanup,computer","OTHER"
"Organize random notes","Too many notes in different places","organization,notes","OTHER"
"Move files to cloud","Backup important documents online","backup,storage","OTHER"
"Check warranty documents","Find receipts and warranty papers","admin,documents","OTHER"
"Clean storage closet","Closet is full of unused items","cleanup,home","OTHER"
"Prepare documents folder","Put important paperwork in one place","organization,documents","OTHER"
"Curata camera","Camera este dezordonata","curatenie,casa","OTHER"
"Repara scaunul","Scaunul este stricat","reparatii,casa","OTHER"
"Suna la suport","Am nevoie de ajutor tehnic","suport,admin","OTHER"
"Actualizeaza parola","Reminder de securitate","conturi,securitate","OTHER"
"Verifica documentele","Trebuie verificate actele","documente,admin","OTHER"
"Ridica cheile","Trebuie luate cheile de rezerva","drumuri,reminder","OTHER"
"Preda documentele","Trebuie livrate actele","documente,drumuri","OTHER"
"Suna proprietarul","Trebuie discutata problema apartamentului","life-admin,locuinta","PERSONAL"
"Programare pentru inspectia apartamentului","Trebuie sa fiu acasa pentru inspectie","programari,locuinta","OTHER"
"Programeaza vizita de mentenanta","Tehnicianul trebuie sa verifice electrocasnicele","programari,mentenanta","OTHER"
"Ridica pachetul","Coletul a ajuns","livrare,drumuri","OTHER"
"Returneaza cartile la biblioteca","Cartile sunt intarziate","drumuri,reminder","OTHER"
"Du hainele la spalatorie","Trebuie vizitata spalatoria","drumuri,treburi","OTHER"
"Suna la service","Este nevoie de cineva sa repare un aparat","mentenanta,reparatii","OTHER"
"Curata bucataria","Bucataria are nevoie de curatenie generala","curatenie,casa","OTHER"
"Organizeaza biroul","Spatiul de lucru este prea aglomerat","organizare,birou","OTHER"
"Verifica cutia postala","Trebuie ridicata corespondenta","drumuri,casa","OTHER"
"Repara raftul","Raftul este instabil","reparatii,casa","OTHER"
"Du masina la service","Programare pentru mentenanta masinii","mentenanta,masina","OTHER"
"Organizeaza actele","Documentele importante sunt imprastiate","organizare,documente","OTHER"
"Curata fisierele de pe desktop","Prea multe fisiere random pe calculator","organizare,curatenie","OTHER"
"Suna instalatorul","Chiuveta din bucatarie curge","mentenanta,casa","OTHER"
"Trebuie sa fac curatenie","Totul pare dezordonat in ultima vreme","curatenie,organizare","OTHER"
"Prea multa dezordine","Trebuie organizate lucrurile mai bine","organizare,casa","OTHER"
"Am uitat sa raspund","Trebuie sa raspund la mesaje","comunicare,admin","OTHER"
"Trebuie reparate lucruri prin casa","Mai multe lucruri mici sunt stricate","mentenanta,casa","OTHER"
"Trebuie sa organizez fisierele","Desktopul este plin de documente random","organizare,calculator","OTHER"
"Raspunde la emailuri","Cereri de suport in asteptare","comunicare,munca","WORK"
"Organizeaza camera","Biroul si rafturile sunt dezordonate","organizare,casa","OTHER"
"Fa backup la pozele din telefon","Trebuie eliberat spatiu de stocare","backup,stocare","OTHER"
"Repara scaunul stricat","Roata scaunului este deteriorata","reparatii,casa","OTHER"
"Actualizeaza parola contului","Reminder de securitate pentru contul online","securitate,conturi","OTHER"
"Spala masina","Masina este foarte murdara","mentenanta,masina","OTHER"
"Du gunoiul","Gunoiul trebuie aruncat","treburi,casa","OTHER"
"Sorteaza documentele vechi","Este nevoie de o organizare mai buna","documente,organizare","OTHER"
"Curata inboxul de email","Prea multe mesaje necitite","admin,email","OTHER"
"Organizeaza folderul Downloads","Fisierele random se aduna","organizare,calculator","OTHER"
"Reinnoieste buletinul","Documentul expira curand","admin,documente","OTHER"
"Programeaza inspectia apartamentului","Trebuie verificate problemele de mentenanta","admin,casa","OTHER"
"Repara manerul usii","Manerul usii nu este stabil","reparatii,casa","OTHER"
"Organizeaza garajul","Prea multe cutii si unelte peste tot","organizare,casa","OTHER"
"Curata tastatura","Tastatura este plina de praf","curatenie,calculator","OTHER"
"Sterge fisierele vechi","Elibereaza spatiu pe laptop","stocare,curatenie","OTHER"
"Actualizeaza software-ul","Instaleaza ultimele update-uri","mentenanta,calculator","OTHER"
"Suna providerul de internet","Conexiunea a fost instabila recent","admin,servicii","OTHER"
"Returneaza obiectul imprumutat","Trebuie returnat saptamana aceasta","drumuri,reminder","OTHER"
"Printeaza documentele","Este nevoie de copii fizice","documente,admin","OTHER"
"Organizeaza calendarul","Prea multe remindere nesortate","organizare,planificare","OTHER"
"Curata frigiderul","Mancarea veche trebuie aruncata","treburi,bucatarie","OTHER"
"Repara robinetul care curge","Robinetul din baie picura constant","mentenanta,casa","OTHER"
"Uda plantele","Plantele incep sa se usuce","treburi,casa","OTHER"
"Actualizeaza lista de contacte","Contactele din telefon sunt invechite","admin,contacte","OTHER"
"Arhiveaza emailurile vechi","Muta mesajele vechi in foldere","admin,email","OTHER"
"Curata bookmarkurile din browser","Prea multe linkuri salvate random","organizare,browser","OTHER"
"Organizeaza cablurile","Cablurile de pe birou sunt dezordonate","organizare,birou","OTHER"
"Eticheteaza cutiile de depozitare","Fa depozitarea mai usor de gasit","organizare,casa","OTHER"
"Preda coletul","Returneaza coletul la curier","drumuri,livrare","OTHER"
"Curata baia","Baia are nevoie de curatenie generala","treburi,casa","OTHER"
"Aspira apartamentul","Podelele trebuie curatate","treburi,casa","OTHER"
"Reseteaza parola veche","Loginul contului trebuie actualizat","securitate,conturi","OTHER"
"Actualizeaza adresa","Schimba adresa pe conturile online","admin,conturi","OTHER"
"Repara usa care scartaie","Usa face zgomot de fiecare data","reparatii,casa","OTHER"
"Curata ecranul laptopului","Ecranul are amprente si praf","curatenie,calculator","OTHER"
"Organizeaza notitele random","Prea multe notite in locuri diferite","organizare,notite","OTHER"
"Muta fisierele in cloud","Fa backup online la documentele importante","backup,stocare","OTHER"
"Verifica documentele de garantie","Gaseste bonurile si garantiile","admin,documente","OTHER"
"Curata debara","Debaraua este plina de lucruri inutile","curatenie,casa","OTHER"
"Pregateste dosarul cu documente","Pune actele importante intr-un singur loc","organizare,documente","OTHER"
"Call parents","Need to check in this weekend","family,relationships","PERSONAL"
"Plan weekend trip","Need short vacation planning","travel,planning","PERSONAL"
"Buy birthday gift for friend","Friend's birthday is next week","friends,birthday","PERSONAL"
"Clean wardrobe","Need better room organization","home,organization","PERSONAL"
"Update resume","Need latest work experience added","career,self-improvement","PERSONAL"
"Plan daily routine","Need more structure during the day","routine,planning","PERSONAL"
"Declutter room","Too many unused things around","organization,home","PERSONAL"
"Journal before sleep","Need more reflection time","habits,self-care","PERSONAL"
"Call grandma","Family catch up","family,personal","PERSONAL"
"Plan personal goals","Need direction for next months","goals,self-improvement","PERSONAL"
"Need better routine","Days feel unorganized lately","routine,self-improvement","PERSONAL"
"Need time for myself","Too busy recently","self-care,personal","PERSONAL"
"Feeling disconnected from friends","Need to reconnect socially","friends,relationships","PERSONAL"
"Need to organize my life","Everything feels chaotic lately","planning,personal","PERSONAL"
"Need more balance","Too much stress and work lately","life-balance,self-care","PERSONAL"
"Call sibling","Need to catch up this week","family,relationships","PERSONAL"
"Plan monthly goals","Need more direction and focus","planning,goals","PERSONAL"
"Fix sleeping routine","Going to bed too late","routine,habits","PERSONAL"
"Spend time offline","Too much screen time lately","self-care,habits","PERSONAL"
"Visit relatives","Family gathering this weekend","family,social","PERSONAL"
"Reconnect with old friend","Haven't talked in months","friends,relationships","PERSONAL"
"Plan morning routine","Need more productive mornings","routine,self-improvement","PERSONAL"
"Organize personal documents","Everything is scattered around","life-admin,organization","PERSONAL"
"Take personal day","Need rest and recovery","self-care,personal","PERSONAL"
"Set new habits","Trying to improve daily consistency","habits,self-improvement","PERSONAL"
"Need better work life balance","Too much stress recently","life-balance,self-care","PERSONAL"
"Write personal journal","Reflect on recent events","journal,self-care","PERSONAL"
"Call friend","Need to catch up socially","friends,relationships","PERSONAL"
"Plan next vacation","Need break from routine","travel,planning","PERSONAL"
"Organize closet","Too many unused clothes","organization,home","PERSONAL"
"Update LinkedIn profile","Need to refresh career information","career,self-improvement","PERSONAL"
"Prepare personal budget","Need more structure financially","planning,life-admin","PERSONAL"
"Set weekly goals","Need clearer priorities","goals,planning","PERSONAL"
"Improve daily habits","Trying to become more consistent","habits,self-improvement","PERSONAL"
"Need more social time","Been isolated lately","friends,personal","PERSONAL"
"Organize workspace","Desk feels too messy","organization,home","PERSONAL"
"Plan family dinner","Need time together this weekend","family,planning","PERSONAL"
"Book haircut appointment","Haircut overdue already","appointments,self-care","PERSONAL"
"Need more motivation","Been procrastinating too much","self-improvement,personal","PERSONAL"
"Prepare for busy week","Need better organization","planning,routine","PERSONAL"
"Spend less time online","Too distracted by social media","habits,self-care","PERSONAL"
"Visit parents this weekend","Haven't seen family recently","family,personal","PERSONAL"
"Clean personal files","Phone and laptop feel cluttered","organization,life-admin","PERSONAL"
"Need to reset routine","Everything feels inconsistent lately","routine,habits","PERSONAL"
"Catch up with messages","Too many unanswered chats","communication,personal","PERSONAL"
"Plan future goals","Need more long-term focus","goals,planning","PERSONAL"
"Start healthier habits","Trying to improve lifestyle","habits,self-care","PERSONAL"
"Take a break from work","Need personal recovery time","self-care,life-balance","PERSONAL"
"Prepare for family visit","Need to organize things at home","family,planning","PERSONAL"
"Suna-ti parintii","Trebuie sa vorbesc cu ei weekendul acesta","familie,relatii","PERSONAL"
